<NFV-D-HNZJI-01A-1805-AC02-S-RT-01>display interface brief main
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
(mf): mac-flapping blocked
(c): CFM down
(sd): STP instance discarding
InUti/OutUti: input utility/output utility
Interface                   PHY   Protocol  InUti OutUti   inErrors  outErrors
Vbdif4461                   up    up           --     --          0          0
Vbdif4462                   up    up           --     --          0          0
Vbdif4463                   up    up           --     --          0          0
Vbdif4465                   up    up           --     --          0          0
Vbdif4466                   up    up           --     --          0          0
Vbdif4467                   up    up           --     --          0          0
Vbdif4468                   up    down         --     --          0          0
Vbdif4469                   up    up           --     --          0          0
Vbdif4477                   up    up           --     --          0          0
Vbdif4478                   up    up           --     --          0          0
Vbdif4479                   up    up           --     --          0          0
Vbdif4481                   up    up           --     --          0          0
Vbdif4482                   up    up           --     --          0          0
Vbdif4483                   up    down         --     --          0          0
Vbdif4486                   up    up           --     --          0          0
Vbdif4488                   up    up           --     --          0          0
Vbdif4489                   up    up           --     --          0          0
Vbdif4490                   up    down         --     --          0          0
Vbdif4494                   up    up           --     --          0          0
Vbdif4496                   up    up           --     --          0          0
Vbdif4498                   up    down         --     --          0          0
Vbdif4499                   up    up           --     --          0          0
Vbdif4504                   up    down         --     --          0          0
